Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Adarsh Nagar,28.6141925,77.07154118,Eagle Boys Pizza,28.6155949,77.07078356,Pizza Place
Adarsh Nagar,28.6141925,77.07154118,Bikanerwala,28.61339089,77.07608403,Indian Restaurant
Adarsh Nagar,28.6141925,77.07154118,Bikano East Patel Nagar,28.61619007,77.06697808,Fast Food Restaurant
Adarsh Nagar,28.6141925,77.07154118,McDonald's,28.61632985,77.0670343,Fast Food Restaurant
Ashok Vihar,28.6994533,77.1848256,Nat Khat Caterers,28.69963,77.187832,Indian Restaurant
Ashok Vihar,28.6994533,77.1848256,Bakers Stop,28.70049468,77.18871571,Bakery
Ashok Vihar,28.6994533,77.1848256,Invitation Banquet,28.69601821,77.18595287,Diner
Ashok Vihar,28.6994533,77.1848256,Gola Northend,28.7012423,77.18928848,Indian Restaurant
Azadpur,28.7076568,77.1755473,jungrele,28.705655,77.172069,Argentinian Restaurant
Azadpur,28.7076568,77.1755473,Moti Dhaba,28.71000829,77.17168845,Indian Restaurant
Azadpur,28.7076568,77.1755473,Cafe Coffee Day Fortis Shalimar Bagh,28.71044637,77.17905674,Café
Azadpur,28.7076568,77.1755473,Tulip Banquet,28.70452311,77.17244103,Restaurant
Keshav Puram,28.6889264,77.1616833,Meriton Redtraunt,28.69040136,77.16029815,Indian Restaurant
Keshav Puram,28.6889264,77.1616833,Kings,28.688909,77.159428,Gastropub
Keshav Puram,28.6889264,77.1616833,Sonu De Chole Kulche,28.6899257,77.16438148,Food Truck
Keshav Puram,28.6889264,77.1616833,Cafe Coffee Day,28.692503,77.159449,Café
Keshav Puram,28.6889264,77.1616833,The Master Bakers,28.68838096,77.16642591,Bakery
Kohat Enclave,28.6980415,77.1405393,Peshawari,28.6990119,77.13901985,Indian Restaurant
Kohat Enclave,28.6980415,77.1405393,Bharat Sweets,28.69929225,77.1397614,Food
Kohat Enclave,28.6980415,77.1405393,Bobby Punjabi Rasoi,28.69922162,77.13939624,Indian Restaurant
Kohat Enclave,28.6980415,77.1405393,Sita Ram Diwan Chand Chhole Bhature,28.70014751,77.14156468,Indian Restaurant
Kohat Enclave,28.6980415,77.1405393,Sankalp Restaurant,28.69998942,77.13750958,Indian Restaurant
Kohat Enclave,28.6980415,77.1405393,Puran Chand,28.69919511,77.13700305,Indian Restaurant
Kohat Enclave,28.6980415,77.1405393,"BIG BAKE, Pitampura, Delhi",28.70006987,77.13697496,Bakery
Kohat Enclave,28.6980415,77.1405393,Bikanervala,28.69473969,77.14291853,Food Court
Pitam Pura,28.7032676,77.1322497,Angrezee Dhaba,28.70259167,77.13381204,Indian Restaurant
Pitam Pura,28.7032676,77.1322497,Sagar Ratna,28.70296917,77.13246371,Indian Restaurant
Pitam Pura,28.7032676,77.1322497,giri momos centre,28.701705,77.133871,Fried Chicken Joint
Pitam Pura,28.7032676,77.1322497,Five star dhaba,28.70066643,77.13612366,Indian Restaurant
Rani Bagh,28.6859821,77.13252447,Berco's,28.68870103,77.1351716,Chinese Restaurant
Rani Bagh,28.6859821,77.13252447,The Good Food Cafe,28.68828561,77.13519407,Fast Food Restaurant
Rani Bagh,28.6859821,77.13252447,CCD,28.68971884,77.13463227,Café
Rani Bagh,28.6859821,77.13252447,BTW Food Court,28.689555,77.135137,Indian Restaurant
Rithala,28.7208064,77.1071813,Mosaic,28.72053156,77.11012967,Restaurant
Shakti Nagar,28.67979,77.1949142,Vikrant Cafe,28.68063646,77.19779553,Café
Shakti Nagar,28.67979,77.1949142,"KFC, Bunglow Road",28.68078356,77.19794714,Fried Chicken Joint
Shakti Nagar,28.67979,77.1949142,Bombay Bhel House,28.68167143,77.19895222,Snack Place
Shakti Nagar,28.67979,77.1949142,Chowringhee,28.68112875,77.19034979,Indian Restaurant
Bara Hindu Rao,28.6595181,77.20501,Al Naseem Food,28.660903,77.206671,Afghan Restaurant
Bara Hindu Rao,28.6595181,77.20501,Anmol Chicken Corner,28.6614013,77.20702626,Afghan Restaurant
Bara Hindu Rao,28.6595181,77.20501,Pancham Chole Kulche,28.6570239,77.20371,Snack Place
Bara Hindu Rao,28.6595181,77.20501,Kamal Sweets,28.659733,77.209043,Indian Restaurant
Chandni Chowk,28.6434826,77.2227421,KFC,28.64498202,77.2235039,Fast Food Restaurant
Chandni Chowk,28.6434826,77.2227421,KFC,28.64180455,77.21909138,Fast Food Restaurant
Chandni Chowk,28.6434826,77.2227421,Comesum - The Food Junction,28.64284589,77.22303796,Food Court
Chandni Chowk,28.6434826,77.2227421,Khan Market,28.64221957,77.21831103,Chinese Restaurant
Chawri Bazaar,28.6499269,77.2297876,Karim's | करीम | کریم (Karim's),28.64949759,77.23369085,Indian Restaurant
Chawri Bazaar,28.6499269,77.2297876,Shyam Sweets,28.65053028,77.23030275,Snack Place
Chawri Bazaar,28.6499269,77.2297876,Al Jawahar | अल जवाहर | امام جواہر,28.64960885,77.23355531,Indian Restaurant
Chawri Bazaar,28.6499269,77.2297876,Aslam Chicken Corner,28.64828333,77.2336476,Indian Restaurant
Chawri Bazaar,28.6499269,77.2297876,ashok chat,28.64935062,77.22700124,Fast Food Restaurant
Civil Lines,28.6768572,77.2250565,moets,28.67801477,77.22473893,Chinese Restaurant
Civil Lines,28.6768572,77.2250565,The Embassy,28.67655556,77.22496909,Indian Restaurant
Civil Lines,28.6768572,77.2250565,1 UP,28.67646342,77.22515435,Italian Restaurant
Civil Lines,28.6768572,77.2250565,Best Of Asia Village,28.676904,77.225201,Asian Restaurant
